%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1432198037090922334,926,0,Camera,0.0508184540999,-0.0334447032426,0.550216530608
1432198037385786466,927,0,Camera,0.049905747564,-0.0388987104254,0.546595821242
1432198037618380706,928,0,Camera,0.0493730023178,-0.0398970798753,0.547497977827
1432198037885176349,929,0,Camera,0.0480251008326,-0.0332352392178,0.555196067236
1432198038104911937,930,0,Camera,0.0479850763161,-0.0296523728038,0.558163389391
1432198038388096600,931,0,Camera,0.0496743777174,-0.0327653518515,0.550034072751
1432198038652946320,932,0,Camera,0.0491092605042,-0.0379718612784,0.546024028627
1432198039185630998,933,0,Camera,0.045908819323,-0.0357508432355,0.562457558929
1432198039447292595,934,0,Camera,0.0474301881832,-0.0384522417081,0.551451587805
1432198039788004108,935,0,Camera,0.048852679744,-0.0395596092223,0.547815477004
1432198040054585146,936,0,Camera,0.0490267884664,-0.0360228577871,0.550331581654
1432198040386616701,937,0,Camera,0.0465354245017,-0.0314687334361,0.564774973282
1432198040650939762,938,0,Camera,0.0453823133713,-0.0292137967685,0.56872342407
1432198040937722502,939,0,Camera,0.0476548155372,-0.0318137962,0.557385050788
1432198041238800337,940,0,Camera,0.0506450270791,-0.0313584135719,0.549887189973
1432198041547983714,941,0,Camera,0.0526938867438,-0.0304211909748,0.549157031897
1432198041836164705,942,0,Camera,0.0528692074005,-0.0308260182888,0.550215376026
1432198042147042483,943,0,Camera,0.0535074951439,-0.0342206194223,0.54645780274
1432198042386160485,944,0,Camera,0.0543835748298,-0.0342324661848,0.545405867325
1432198042632834142,945,0,Camera,0.0542709685324,-0.0309167558328,0.54515716529
1432198042942109607,946,0,Camera,0.0544248976948,-0.0295441105969,0.547736934127
1432198043236127687,947,0,Camera,0.0543615001815,-0.0323442033877,0.545551534406
1432198043480667701,948,0,Camera,0.0537746544127,-0.0333403582939,0.546313130591
1432198043788376092,949,0,Camera,0.0528097106984,-0.035200976463,0.547376344698
1432198044237162789,950,0,Camera,0.0554423105089,-0.0235613812247,0.54979904514
1432198044600543791,951,0,Camera,0.0544764321051,-0.0226404800536,0.553923713297
1432198044834341667,952,0,Camera,0.0532039014212,-0.0280206595961,0.552281776239
1432198045082311876,953,0,Camera,0.0522692893398,-0.0322535938606,0.551125360967
1432198045348032501,954,0,Camera,0.0519128357533,-0.0285062006837,0.554350700803
1432198045634635769,955,0,Camera,0.0522626079042,-0.0238188197661,0.55662059013
1432198045913001168,956,0,Camera,0.0534203918643,-0.0253370435561,0.551955130038
1432198046150399230,957,0,Camera,0.0524637768454,-0.0266641841127,0.552091913166
1432198046480914109,958,0,Camera,0.0516959295125,-0.0273490275298,0.553432877688
1432198046741620404,959,0,Camera,0.0539762160858,-0.0267175373279,0.550557962154
1432198047233526847,960,0,Camera,0.0569158177903,-0.0250083906057,0.546734282556
1432198047539252506,961,0,Camera,0.0565755793972,-0.0268862666786,0.545015346644
1432198047796492225,962,0,Camera,0.0557140987285,-0.0266834296491,0.548857753399
1432198048231880020,963,0,Camera,0.0582415547048,-0.0264389970303,0.543733718132
1432198048494017936,964,0,Camera,0.0590312751466,-0.0267874586559,0.542076713994
1432198048782532313,965,0,Camera,0.0586599834648,-0.0264032104645,0.544436225667
1432198049048347883,966,0,Camera,0.0604867795546,-0.0260475377627,0.542185708813
1432198049483335068,967,0,Camera,0.0642578489136,-0.0276909955905,0.533145964659
1432198049810883837,968,0,Camera,0.0671751238785,-0.0203383547857,0.532486788492
