time,ball-x,ball-y,ball-z,kalman-x,kalman-y,kalman-z,cam-desired-pos-x,cam-desired-pos-y,cam-desired-pos-z,cam-desired-orient-x,cam-desired-orient-y,cam-desired-orient-z,cam-desired-orient-w,cam-real-pos-x,cam-real-pos-y,cam-real-pos-z,cam-real-orient-x,cam-real-orient-y,cam-real-orient-z,cam-real-orient-w,q-real-0,q-real-1,q-real-2,q-real-3,q-real-4,q-real-5,q-real-6,q-desired-0,q-desired-1,q-desired-2,q-desired-3,q-desired-4,q-desired-5,q-desired-6,ball-kalman-error
9.4,-0.0168674,-0.00396556,0.479109,-0.0180536,-0.00508158,0.479643,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0017139799
9.6,-0.0390182,-0.0292211,0.533469,-0.019393,-0.00487583,0.481696,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0604837513
9.8,-0.0390182,-0.0292211,0.533469,-0.0207324,-0.00467006,0.483748,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0583892275
10,-0.0390182,-0.0292211,0.533469,-0.02215,-0.00441417,0.48589,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0562466105
10.2,-0.0390182,-0.0292211,0.533469,-0.0235885,-0.00414415,0.488055,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0541235666
10.4,-0.0390182,-0.0292211,0.533469,-0.0369371,-0.0296657,0.533252,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18924,-0.511454,-0.0654084,1.78536,-0.03345,-1.27497,1.01735,0.0021390969
10.6,-0.0390182,-0.0292211,0.533469,-0.0388247,-0.0320833,0.538628,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0059029579
10.8,-0.0390182,-0.0292211,0.533469,-0.0407148,-0.0345032,0.54401,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0119118308
11,-0.0412418,-0.0201635,0.533575,-0.0425988,-0.0369174,0.549377,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.02307028
11.2,-0.0412418,-0.0201635,0.533575,-0.0444824,-0.0393311,0.554743,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.028739913
11.4,-0.0412418,-0.0201635,0.533575,-0.0464163,-0.0417931,0.560241,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0347230558
11.6,-0.0431522,-0.000972701,0.538356,-0.0482982,-0.0442051,0.565602,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0513601612
11.8,-0.0431522,-0.000972701,0.538356,-0.0448397,-0.0213229,0.53927,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0204404905
12,-0.0506165,0.0186193,0.557081,-0.0464961,-0.02142,0.542362,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0428575804
12.2,-0.0506165,0.0186193,0.557081,-0.0481658,-0.0215147,0.545478,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0418494145
12.4,-0.0506165,0.0186193,0.557081,-0.046976,-0.00131139,0.54281,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0247819911
12.6,-0.0506165,0.0186193,0.557081,-0.0485159,0.000925868,0.545449,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0212784746
12.8,-0.0506165,0.0186193,0.557081,-0.0524054,0.0198139,0.557921,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0023092926
13,-0.0506165,0.0186193,0.557081,-0.0540815,0.0241502,0.561446,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0078517708
13.2,-0.0506165,0.0186193,0.557081,-0.0557596,0.0284922,0.564974,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18873,-0.449343,-0.0592602,1.64255,-0.0276702,-1.19402,1.01462,0.0136464311
13.4,-0.0735779,0.0464643,0.616513,-0.0574403,0.0328415,0.568508,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18049,-0.250927,-0.0446174,1.51584,-0.0116133,-1.26518,1.006,0.0524450459
